,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
71,"RT @ChiefSexton: Part II of my How Do I Sleep So Well series... I determined Malinois was the best brand of pillow, AND, in my opinion, it…",FALSE,0,NA,3/3/2019 16:32,FALSE,NA,1102245348897180000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,3,TRUE,FALSE,NA,NA
72,RT @GhouliaChilds: Horror Affirmations: DOORS OF OPPORTUNITY NOW FLY OPEN FOR MY DREAMS TO COME TRUE. (*The Ghost of Frankenstein 1942) htt…,FALSE,0,NA,3/3/2019 16:31,FALSE,NA,1102245189098350000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,10,TRUE,FALSE,NA,NA
73,"Now buy Woooooo! Menthol and Peppermint Steam Pucks online, at: <U+0001F912>https://t.co/CD6q79RGz6<U+0001F912>

#sinusrelief… https://t.co/CzHiBELWTJ",FALSE,1,NA,3/3/2019 16:27,TRUE,NA,1102244078509600000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bathbombking,1,FALSE,FALSE,NA,NA
74,"Now buy Woooooo! Menthol and Peppermint Steam Pucks online, at: <U+0001F912>https://t.co/3qlzBAo52T <U+0001F912>

#sinusrelief… https://t.co/Wma7mFpsBz",FALSE,0,NA,3/3/2019 16:24,TRUE,NA,1102243448147660000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",whitetrashart,0,FALSE,FALSE,NA,NA
75,"RT @saludjalisco: La #Influenza se transmite cuando un enfermo tose, estornuda o habla y alguien respira el aire contaminado #Vacúnate es ¡…",FALSE,0,NA,3/3/2019 16:21,FALSE,NA,1102242694905110000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elihernantorres,2,TRUE,FALSE,NA,NA
76,RT @Wetwinter1: @usacsmret https://t.co/yPdSLLkiRr,FALSE,0,NA,3/3/2019 16:21,FALSE,NA,1102242622742160000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,2,TRUE,FALSE,NA,NA
77,"RT @censia_salud: Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC",FALSE,0,NA,3/3/2019 16:20,FALSE,NA,1102242418064260000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",03Jurisdiccion,6,TRUE,FALSE,NA,NA
78,"RT @censia_salud: Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC",FALSE,0,NA,3/3/2019 16:20,FALSE,NA,1102242340226230000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PasiaMorelos,6,TRUE,FALSE,NA,NA
79,"Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC",FALSE,4,NA,3/3/2019 16:20,FALSE,NA,1102242232478770000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",censia_salud,6,FALSE,FALSE,NA,NA
80,"RT @hooponopono7: Tengo influenza <U+0001F97A>
Y según Louise Hay es reacción a creencias populares negativas
Tengo que decir:
«Estoy más allá de las…",FALSE,0,NA,3/3/2019 16:19,FALSE,NA,1102241990308180000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lauravbichara,74,TRUE,FALSE,NA,NA
